Month,Year,DayOfYear,Interval,Deaths,,
3,1851,74,0,61,,
8,1851,231,157,35,,
12,1851,354,123,52,,
12,1851,356,2,13,,
4,1852,115,124,12,,
5,1852,127,12,22,,
5,1852,131,4,65,,
5,1852,141,10,36,,
12,1852,357,216,10,,
3,1853,71,80,10,,
3,1853,83,12,58,,
4,1853,116,33,11,,
7,1853,182,66,20,,
2,1854,49,232,89,,
5,1856,145,826,12,,
7,1856,185,40,11,,
7,1856,197,12,114,,
8,1856,226,29,11,,
2,1857,50,190,189,,
5,1857,147,97,13,,
7,1857,212,65,40,,
2,1858,33,186,53,,
2,1858,56,23,19,,
5,1858,148,92,12,,
12,1858,345,197,25,,
2,1860,46,431,13,,
3,1860,62,16,76,,
8,1860,216,154,13,,
11,1860,311,95,12,,
12,1860,336,25,142,,
12,1860,355,19,22,,
3,1861,67,78,13,,
9,1861,269,202,10,,
11,1861,305,36,13,,
2,1862,50,110,47,,
11,1862,326,276,16,,
12,1862,342,16,59,,
3,1863,65,88,26,,
10,1863,290,225,39,,
12,1863,343,53,13,,
12,1863,360,17,15,,
6,1865,167,538,26,,
12,1865,354,187,34,,
1,1866,23,34,30,,
5,1866,124,101,12,,
6,1866,165,41,38,,
10,1866,304,139,24,,
12,1866,346,42,361,,
12,1866,347,1,91,,
8,1867,232,250,14,,
11,1867,312,80,178,,
11,1867,315,3,12,,
9,1868,274,324,10,,
11,1868,330,56,62,,
12,1868,361,31,26,,
4,1869,91,96,37,,
6,1869,161,70,53,,
7,1869,202,41,59,,
10,1869,295,93,11,,
11,1869,319,24,27,,
2,1870,45,91,30,,
7,1870,188,143,19,,
7,1870,204,16,19,,
8,1870,231,27,20,,
1,1871,10,144,26,,
2,1871,55,45,38,,
3,1871,61,6,19,,
9,1871,269,208,70,,
10,1871,298,29,26,,
2,1872,45,112,11,,
3,1872,88,43,27,,
10,1872,281,193,34,,
2,1873,49,134,18,,
4,1874,104,420,54,,
7,1874,199,95,15,,
11,1874,324,125,23,,
12,1874,358,34,17,,
4,1875,120,127,43,,
12,1875,338,218,23,,
12,1875,340,2,143,,
12,1875,340,0,16,,
12,1876,353,378,23,,
1,1877,23,36,18,,
2,1877,38,15,10,,
3,1877,69,31,18,,
10,1877,284,215,36,,
10,1877,295,11,207,,
3,1878,67,137,17,,
3,1878,71,4,43,,
3,1878,86,15,23,,
6,1878,158,72,189,,
9,1878,254,96,268,,
1,1879,13,124,63,,
3,1879,63,50,21,,
7,1879,183,120,28,,
1,1880,21,203,62,,
7,1880,197,176,120,,
9,1880,252,55,164,,
12,1880,345,93,101,,
2,1881,38,59,25,,
12,1881,353,315,48,,
2,1882,47,59,74,,
4,1882,108,61,37,,
4,1882,109,1,13,,
5,1882,122,13,32,,
11,1882,311,189,45,,
10,1883,291,345,20,,
11,1883,311,20,68,,
1,1884,27,81,14,,
11,1884,313,286,14,,
3,1885,61,114,42,,
6,1885,169,108,178,,
12,1885,357,188,81,,
8,1886,225,233,38,,
9,1886,253,28,10,,
10,1886,275,22,22,,
12,1886,336,61,28,,
2,1887,49,78,39,,
5,1887,148,99,73,,
4,1888,109,326,30,,
1,1889,18,275,23,,
3,1889,72,54,20,,
10,1889,289,217,64,,
2,1890,37,113,176,,
3,1890,,,69,32,87
4,1891,,92,388,10,
8,1891,,,243,151,10
8,1892,,,239,361,112
7,1893,,,185,312,139
6,1894,,174,354,290,
4,1895,116,307,13,,
1,1896,,,26,275,57
4,1896,104,78,20,,
4,1896,121,17,63,,
8,1899,,230,1205,19,
5,1901,,144,644,81,
9,1902,,246,467,16,
1,1905,,21,871,11,
3,1905,,69,48,33,
7,1905,192,123,119,,
10,1906,,283,456,25,
2,1908,,51,498,14,
4,1908,100,49,10,,
8,1908,,231,131,75,
2,1909,,47,182,168,
10,1909,,302,255,27,
5,1910,,131,194,136,
12,1910,,355,224,344,
7,1912,,191,566,88,
10,1913,,287,462,439,
5,1914,,150,228,12,
8,1916,,226,806,13,
1,1918,,12,517,155,
7,1922,194,1643,12,,
9,1922,,248,54,39,
7,1923,209,326,27,,
3,1927,,,60,1312,52
2,1928,,43,348,13,
2,1930,,57,745,13,
10,1930,,,274,217,14
1,1931,,29,120,27,
10,1931,,304,275,10,
11,1931,,324,20,45,
1,1932,,25,66,11,
11,1932,,317,292,27,
11,1932,,321,4,11,
11,1933,,323,368,14,
9,1934,265,307,265,,
8,1935,,236,336,10,
9,1935,255,19,19,,
8,1936,,,219,329,58
7,1937,,183,330,30,
5,1938,,130,312,79,
10,1939,,301,536,35,
3,1940,,81,145,11,
6,1940,,156,75,10,
6,1941,,154,364,12,
7,1941,191,37,16,,
7,1941,210,19,22,,
1,1942,,,1,156,57
2,1942,,48,47,12,
6,1942,177,129,13,,
12,1946,,346,1630,15,
1,1947,,10,29,15,
8,1947,,227,217,104,
8,1947,,234,7,21,
9,1947,,252,18,12,
5,1951,,149,1358,83,
11,1957,,323,2366,17,
6,1960,180,952,45,,
3,1962,,81,632,19,
